Fecha,Cuadrante,Variedad,NumPlanta,AltPlanta_cm,Cant_hojas,GrosorEntrenudos_cm,GE_M1_cm,GE_M2_ cm,GE_M2_cm,
,C1-1,CajeteAmarillo,1,82.3,8,1.74,1.95,1.65,1.63,
,C1-1,CajeteAmarillo,2,96.8,6,1.91,2.06,1.92,1.76,
,C1-1,CajeteAmarillo,3,101.7,11,2.38,2.62,2.26,2.26,
,C1-1,CajeteAmarillo,4,75.3,7,1.39,1.55,1.44,1.17,
,C1-1,CajeteAmarillo,5,,,,,,,
,C1-1,CajeteAmarillo,6,,,,,,,
,C1-1,CajeteAmarillo,7,,,,,,,
,C1-1,CajeteAmarillo,8,,,,,,,
,C1-1,CajeteAmarillo,9,,,,,,,
,C1-1,CajeteAmarillo,10,,,,,,,
,C1-1,CajeteAmarillo,11,,,,,,,
,C1-1,CajeteAmarillo,12,,,,,,,
,C1-1,CajeteAmarillo,13,,,,,,,
,C1-1,CajeteAmarillo,14,,,,,,,
,C1-1,CajeteAmarillo,15,,,,,,,
,C1-1,CajeteAmarillo,16,,,,,,,
,C1-1,CajeteAmarillo,17,,,,,,,
,C1-1,CajeteAmarillo,18,,,,,,,
,C1-1,CajeteAmarillo,19,,,,,,,
,C1-1,CajeteAmarillo,20,,,,,,,
,C1-2,TemporalAzul,1,,,,,,,
,C1-2,TemporalAzul,2,,,,,,,
,C1-2,TemporalAzul,3,,,,,,,
,C1-2,TemporalAzul,4,,,,,,,
,C1-2,TemporalAzul,5,,,,,,,
,C1-2,TemporalAzul,6,,,,,,,
,C1-2,TemporalAzul,7,,,,,,,
,C1-2,TemporalAzul,8,,,,,,,
,C1-2,TemporalAzul,9,,,,,,,
,C1-2,TemporalAzul,10,,,,,,,
,C1-2,TemporalAzul,11,,,,,,,
,C1-2,TemporalAzul,12,,,,,,,
,C1-2,TemporalAzul,13,,,,,,,
,C1-2,TemporalAzul,14,,,,,,,
,C1-2,TemporalAzul,15,,,,,,,
,C1-2,TemporalAzul,16,,,,,,,
,C1-2,TemporalAzul,17,,,,,,,
,C1-2,TemporalAzul,18,,,,,,,
,C1-2,TemporalAzul,19,,,,,,,
,C1-2,TemporalAzul,20,,,,,,,
,C1-3,TemporalAzul,1,,,,,,,
,C1-3,TemporalAzul,2,,,,,,,
,C1-3,TemporalAzul,3,,,,,,,
,C1-3,TemporalAzul,4,,,,,,,
,C1-3,TemporalAzul,5,,,,,,,
,C1-3,TemporalAzul,6,,,,,,,
,C1-3,TemporalAzul,7,,,,,,,
,C1-3,TemporalAzul,8,,,,,,,
,C1-3,TemporalAzul,9,,,,,,,
,C1-3,TemporalAzul,10,,,,,,,
,C1-3,TemporalAzul,11,,,,,,,
,C1-3,TemporalAzul,12,,,,,,,
,C1-3,TemporalAzul,13,,,,,,,
,C1-3,TemporalAzul,14,,,,,,,
,C1-3,TemporalAzul,15,,,,,,,
,C1-3,TemporalAzul,16,,,,,,,
,C1-3,TemporalAzul,17,,,,,,,
,C1-3,TemporalAzul,18,,,,,,,
,C1-3,TemporalAzul,19,,,,,,,
,C1-3,TemporalAzul,20,,,,,,,
,C1-4,CajeteAmarillo,1,,,,,,,
,C1-4,CajeteAmarillo,2,,,,,,,
,C1-4,CajeteAmarillo,3,,,,,,,
,C1-4,CajeteAmarillo,4,,,,,,,
,C1-4,CajeteAmarillo,5,,,,,,,
,C1-4,CajeteAmarillo,6,,,,,,,
,C1-4,CajeteAmarillo,7,,,,,,,
,C1-4,CajeteAmarillo,8,,,,,,,
,C1-4,CajeteAmarillo,9,,,,,,,
,C1-4,CajeteAmarillo,10,,,,,,,
,C1-4,CajeteAmarillo,11,,,,,,,
,C1-4,CajeteAmarillo,12,,,,,,,
,C1-4,CajeteAmarillo,13,,,,,,,
,C1-4,CajeteAmarillo,14,,,,,,,
,C1-4,CajeteAmarillo,15,,,,,,,
,C1-4,CajeteAmarillo,16,,,,,,,
,C1-4,CajeteAmarillo,17,,,,,,,
,C1-4,CajeteAmarillo,18,,,,,,,
,C1-4,CajeteAmarillo,19,,,,,,,
,C1-4,CajeteAmarillo,20,,,,,,,
,T1-1,TemporalAzul,1,,,,,,,
,T1-1,TemporalAzul,2,,,,,,,
,T1-1,TemporalAzul,3,,,,,,,
,T1-1,TemporalAzul,4,,,,,,,
,T1-1,TemporalAzul,5,,,,,,,
,T1-1,TemporalAzul,6,,,,,,,
,T1-1,TemporalAzul,7,,,,,,,
,T1-1,TemporalAzul,8,,,,,,,
,T1-1,TemporalAzul,9,,,,,,,
,T1-1,TemporalAzul,10,,,,,,,
,T1-1,TemporalAzul,11,,,,,,,
,T1-1,TemporalAzul,12,,,,,,,
,T1-1,TemporalAzul,13,,,,,,,
,T1-1,TemporalAzul,14,,,,,,,
,T1-1,TemporalAzul,15,,,,,,,
,T1-1,TemporalAzul,16,,,,,,,
,T1-1,TemporalAzul,17,,,,,,,
,T1-1,TemporalAzul,18,,,,,,,
,T1-1,TemporalAzul,19,,,,,,,
,T1-1,TemporalAzul,20,,,,,,,
,T1-2,CajeteAmarillo,1,,,,,,,
,T1-2,CajeteAmarillo,2,,,,,,,
,T1-2,CajeteAmarillo,3,,,,,,,
,T1-2,CajeteAmarillo,4,,,,,,,
,T1-2,CajeteAmarillo,5,,,,,,,
,T1-2,CajeteAmarillo,6,,,,,,,
,T1-2,CajeteAmarillo,7,,,,,,,
,T1-2,CajeteAmarillo,8,,,,,,,
,T1-2,CajeteAmarillo,9,,,,,,,
,T1-2,CajeteAmarillo,10,,,,,,,
,T1-2,CajeteAmarillo,11,,,,,,,
,T1-2,CajeteAmarillo,12,,,,,,,
,T1-2,CajeteAmarillo,13,,,,,,,
,T1-2,CajeteAmarillo,14,,,,,,,
,T1-2,CajeteAmarillo,15,,,,,,,
,T1-2,CajeteAmarillo,16,,,,,,,
,T1-2,CajeteAmarillo,17,,,,,,,
,T1-2,CajeteAmarillo,18,,,,,,,
,T1-2,CajeteAmarillo,19,,,,,,,
,T1-2,CajeteAmarillo,20,,,,,,,
,T1-3,CajeteAmarillo,1,,,,,,,
,T1-3,CajeteAmarillo,2,,,,,,,
,T1-3,CajeteAmarillo,3,,,,,,,
,T1-3,CajeteAmarillo,4,,,,,,,
,T1-3,CajeteAmarillo,5,,,,,,,
,T1-3,CajeteAmarillo,6,,,,,,,
,T1-3,CajeteAmarillo,7,,,,,,,
,T1-3,CajeteAmarillo,8,,,,,,,
,T1-3,CajeteAmarillo,9,,,,,,,
,T1-3,CajeteAmarillo,10,,,,,,,
,T1-3,CajeteAmarillo,11,,,,,,,
,T1-3,CajeteAmarillo,12,,,,,,,
,T1-3,CajeteAmarillo,13,,,,,,,
,T1-3,CajeteAmarillo,14,,,,,,,
,T1-3,CajeteAmarillo,15,,,,,,,
,T1-3,CajeteAmarillo,16,,,,,,,
,T1-3,CajeteAmarillo,17,,,,,,,
,T1-3,CajeteAmarillo,18,,,,,,,
,T1-3,CajeteAmarillo,19,,,,,,,
,T1-3,CajeteAmarillo,20,,,,,,,
,T1-4,TemporalAzul,1,,,,,,,
,T1-4,TemporalAzul,2,,,,,,,
,T1-4,TemporalAzul,3,,,,,,,
,T1-4,TemporalAzul,4,,,,,,,
,T1-4,TemporalAzul,5,,,,,,,
,T1-4,TemporalAzul,6,,,,,,,
,T1-4,TemporalAzul,7,,,,,,,
,T1-4,TemporalAzul,8,,,,,,,
,T1-4,TemporalAzul,9,,,,,,,
,T1-4,TemporalAzul,10,,,,,,,
,T1-4,TemporalAzul,11,,,,,,,
,T1-4,TemporalAzul,12,,,,,,,
,T1-4,TemporalAzul,13,,,,,,,
,T1-4,TemporalAzul,14,,,,,,,
,T1-4,TemporalAzul,15,,,,,,,
,T1-4,TemporalAzul,16,,,,,,,
,T1-4,TemporalAzul,17,,,,,,,
,T1-4,TemporalAzul,18,,,,,,,
,T1-4,TemporalAzul,19,,,,,,,
,T1-4,TemporalAzul,20,,,,,,,
